Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Supervisory and Managerial Staff,Total Emoluments,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital
1982 - 1983,Haryana,-1.99,4.18,0.76,2.95,,4.35,,34.03,,,,,,,12.64,10.49,7.54,54.49,,,10.4,,95.28,141.19,3.19,38.7,50.14,320.0,3.0,,92.0,229.0,,,,,,,63.26,4.93,61.25,81.01,235.1,4.97,1.04,,,28.8,216.49,322.0,,270.98,,,,17.29,46.98
1982 - 1983,Himachal Pradesh,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1982 - 1983,Jammu & Kashmir,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1982 - 1983,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,Karnataka,39.89,144.5,10.99,195.39,,26.59,,172.68,,,,,,,19.88,249.49,54.11,612.81,,,58.11,,617.03,937.47,27.52,483.44,586.21,7903.0,118.0,,2281.0,7134.0,,,,,,,705.89,29.85,444.35,360.06,1457.65,96.48,44.66,,,357.09,1477.82,8033.0,,2090.63,,,,272.65,187.38
1982 - 1983,Kerala,-0.53,-0.14,-0.4,-1.07,,2.73,,26.66,,,,,,,3.3,4.23,5.29,89.67,,,14.23,,97.92,116.71,2.56,72.27,86.92,622.0,18.0,,175.0,516.0,,,,,,,115.03,2.88,71.26,84.21,197.94,41.03,0.42,,,28.37,247.37,632.0,,337.04,,,,21.52,57.55
1982 - 1983,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,Madhya Pradesh,-2.59,7.45,1.05,5.91,,4.45,,35.89,,,,,,,4.47,22.84,16.93,76.27,,,5.05,,79.02,178.67,12.48,65.91,71.81,328.0,16.0,,100.0,258.0,,,,,,,60.21,1.87,43.13,69.85,253.9,46.03,0.86,,,18.01,200.37,354.0,,276.64,,,,11.62,33.96
1982 - 1983,Maharashtra,144.43,20.34,80.45,245.22,,148.82,,1269.43,,,,,,,158.1,449.6,204.4,2104.52,,,503.33,,3469.6,9593.6,55.56,1372.74,1955.7,14032.0,466.0,,4049.0,11570.0,,,,,,,3806.76,118.34,2200.17,2196.57,12823.82,88.98,79.63,,,1165.41,13405.01,14742.0,,15509.53,,,,792.61,927.14
1982 - 1983,Manipur,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1982 - 1983,Meghalaya,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1982 - 1983,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,Nagaland,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1982 - 1983,Orissa,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1982 - 1983,Puducherry,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1982 - 1983,Punjab,-39.8,-6.69,60.2,13.71,,118.09,,745.77,,,,,,,87.47,214.51,200.81,1665.93,,,522.99,,4059.71,7854.89,82.71,1001.45,1547.84,4146.0,210.0,,1249.0,3257.0,,,,,,,3588.73,30.08,3313.94,2522.74,11416.09,623.58,23.4,,,347.78,13166.46,4666.0,,14832.39,,,,253.63,1776.97
1982 - 1983,Rajasthan,-25.37,11.73,-4.48,-18.12,,5.73,,60.41,,,,,,,11.56,-11.91,6.2,228.8,,,23.56,,184.89,903.66,0.47,196.23,223.04,866.0,18.0,,263.0,682.0,,,,,,,166.11,7.26,124.48,172.53,1261.54,138.61,3.27,,,50.37,1076.98,894.0,,1305.78,,,,31.88,112.12
1982 - 1983,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,Tamil Nadu,30.56,34.69,3.44,68.67,,110.14,,842.0,,,,,,,69.38,250.92,182.25,1282.43,,,226.19,,2146.61,6027.47,72.1,890.86,1172.29,14401.0,384.0,,4191.0,12691.0,,,,,,,1530.08,39.76,1304.61,3684.33,8413.22,308.61,55.24,,,542.48,7889.79,14794.0,,9172.22,,,,406.79,2842.33
1982 - 1983,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,Tripura,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1982 - 1983,Uttar Pradesh,21.12,20.83,1.48,43.43,,22.06,,187.86,,,,,,,32.11,61.12,17.7,279.69,,,46.66,,416.93,835.93,-4.38,205.72,257.61,1834.0,35.0,,551.0,1476.0,,,,,,,319.81,11.95,229.07,155.08,1451.82,87.49,5.24,,,106.28,1295.03,1860.0,,1574.72,,,,67.91,-32.78
1982 - 1983,Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,West Bengal,22.8,15.17,-17.65,20.32,,19.28,,148.1,,,,,,,40.19,34.58,14.27,350.92,,,93.16,,720.86,1396.06,-5.0,220.93,331.64,2531.0,82.0,,672.0,1806.0,,,,,,,630.09,16.45,572.76,274.23,1948.31,52.36,17.56,,,152.12,2427.37,2629.0,,2778.29,,,,94.36,126.13
1983 - 1984,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1983 - 1984,Andhra Pradesh,-0.33,-1.96,-3.77,-6.07,,2.29,,39.08,,,,,,,0.74,-6.17,-0.11,11.59,,,9.75,,52.7,45.85,-2.4,-1.92,9.3,193.0,13.0,,58.0,166.0,,,,,,,56.32,0.21,13.62,44.43,56.95,-9.97,1.47,,,7.83,49.69,205.0,,61.28,,,,5.33,5.35
1983 - 1984,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,Assam,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1983 - 1984,Bihar,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1983 - 1984,Chandigarh,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1983 - 1984,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,Dadra & Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,Delhi,183.75,98.56,60.52,342.83,,189.86,,1442.17,,,,,,,156.91,618.36,275.53,2762.54,,,512.4,,4034.91,9731.55,85.67,1915.6,2572.69,11606.0,344.0,,3469.0,8550.0,,,,,,,3858.68,158.52,2592.74,2812.95,15981.98,688.77,144.69,,,1068.3,14525.66,11878.0,,17288.2,,,,624.58,1370.78
1983 - 1984,Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,"Goa, Daman & Diu",-29.59,0.63,-7.14,-36.11,,3.26,,19.43,,,,,,,1.07,-30.6,5.5,29.56,,,0.72,,30.7,46.45,2.24,24.6,26.29,372.0,4.0,,114.0,352.0,,,,,,,11.34,1.39,11.27,25.33,67.22,6.34,0.98,,,16.87,52.45,376.0,,82.01,,,,13.53,5.9
1983 - 1984,Gujarat,140.07,-21.88,-110.65,7.54,,110.51,,832.69,,,,,,,69.95,170.76,163.22,1360.2,,,219.83,,2166.26,5068.63,52.7,1016.29,1249.68,7927.0,113.0,,2277.0,7001.0,,,,,,,1585.85,37.76,1333.57,1702.69,6919.01,561.35,13.54,,,417.18,5675.31,8043.0,,7035.51,,,,318.69,870.0
1983 - 1984,Haryana,5.83,3.13,-1.75,7.22,,3.56,,31.68,,,,,,,13.4,9.97,2.76,46.4,,,8.46,,87.25,98.55,-0.8,34.18,42.84,290.0,3.0,,89.0,204.0,,,,,,,15.31,3.33,55.57,51.47,161.83,9.42,0.2,,,21.43,151.9,294.0,,198.3,,,,13.9,19.79
1983 - 1984,Himachal Pradesh,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1983 - 1984,Jammu & Kashmir,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1983 - 1984,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,Karnataka,9.91,-5.72,-3.0,1.19,,28.08,,185.75,,,,,,,22.66,26.45,25.24,736.75,,,75.93,,650.9,999.72,-2.83,584.99,708.66,6851.0,109.0,,2029.0,6134.0,,,,,,,701.31,41.18,465.15,469.05,1778.09,171.25,47.73,,,372.57,1486.02,6946.0,,2222.77,,,,285.86,283.3
1983 - 1984,Kerala,-118.11,45.92,-18.67,-90.87,,38.39,,327.02,,,,,,,110.97,-40.71,50.16,1101.19,,,49.42,,1390.39,1431.8,11.76,1011.6,1062.8,3231.0,17.0,,837.0,2634.0,,,,,,,318.49,70.49,1063.37,1407.76,2652.43,559.83,1.78,,,381.27,1599.07,3242.0,,2700.26,,,,282.95,1080.74
1983 - 1984,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,Madhya Pradesh,9.81,-1.27,2.76,11.31,,20.08,,137.91,,,,,,,17.04,43.23,31.92,107.1,,,25.05,,249.28,414.94,11.84,60.14,87.03,832.0,21.0,,250.0,636.0,,,,,,,178.05,3.47,111.37,210.24,648.95,14.32,1.84,,,42.36,562.07,850.0,,669.17,,,,26.31,72.33
1983 - 1984,Maharashtra,-20.32,57.62,-64.4,-27.1,,206.41,,1441.25,,,,,,,165.84,98.69,125.8,2033.21,,,701.55,,3942.43,8870.34,-80.62,996.64,1826.8,14059.0,441.0,,3810.0,10901.0,,,,,,,5540.56,155.86,2501.18,2327.65,12002.68,-431.92,128.61,,,1272.7,11400.76,14648.0,,13433.97,,,,830.19,886.4
1983 - 1984,Manipur,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1983 - 1984,Meghalaya,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1983 - 1984,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,Nagaland,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1983 - 1984,Orissa,0.55,0.61,0.21,1.37,,1.66,,1.26,,,,,,,0.06,1.37,0.0,6.75,,,0.01,,2.66,5.0,-1.66,4.3,5.08,139.0,3.0,,42.0,122.0,,,,,,,0.1,0.01,1.4,7.6,8.77,-0.23,0.77,,,4.52,6.96,141.0,,13.71,,,,2.88,6.34
1983 - 1984,Puducherry,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1983 - 1984,Punjab,87.19,-345.9,-162.88,-421.6,,199.12,,1087.48,,,,,,,126.96,-42.24,379.36,2181.68,,,558.79,,4461.08,7834.7,180.24,1401.13,1982.57,5109.0,253.0,,1440.0,3952.0,,,,,,,3700.19,29.34,3373.6,3863.58,12054.93,908.0,22.66,,,463.79,10578.43,5650.0,,12760.11,,,,332.64,2776.1
1983 - 1984,Rajasthan,-12.93,-0.19,1.27,-11.85,,4.18,,48.44,,,,,,,11.25,-3.05,8.81,145.76,,,24.85,,161.68,245.68,4.63,114.25,141.59,563.0,13.0,,158.0,428.0,,,,,,,139.32,3.92,113.24,139.17,517.6,73.38,2.49,,,36.94,425.17,585.0,,570.93,,,,21.47,90.73
1983 - 1984,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,Tamil Nadu,103.71,128.52,7.95,240.17,,137.66,,1080.74,,,,,,,89.67,499.71,259.52,1461.42,,,347.34,,2913.19,7116.32,121.86,914.87,1323.75,16371.0,357.0,,4668.0,14423.0,,,,,,,2402.19,52.16,1832.45,1898.57,9929.49,162.12,61.54,,,700.6,9283.06,16770.0,,10744.48,,,,506.16,817.83
1983 - 1984,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,Tripura,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1983 - 1984,Uttar Pradesh,11.02,32.26,8.42,51.7,,28.71,,223.46,,,,,,,34.04,86.07,34.37,151.7,,,69.12,,550.63,893.08,5.67,49.6,123.01,1989.0,50.0,,593.0,1563.0,,,,,,,467.76,12.04,327.17,219.76,1387.12,-101.94,4.29,,,139.52,1279.14,2018.0,,1430.84,,,,81.57,-3.7
1983 - 1984,Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983 - 1984,West Bengal,10.01,23.9,4.78,38.68,,30.21,,160.5,,,,,,,39.39,89.38,50.7,281.45,,,79.7,,772.57,1665.25,20.47,155.14,251.23,2652.0,73.0,,749.0,2116.0,,,,,,,563.92,16.01,612.07,393.35,2299.68,-49.04,16.4,,,188.13,2093.44,2756.0,,2374.89,,,,133.36,232.85
1984 - 1985,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1984 - 1985,Andhra Pradesh,21.31,0.96,0.0,22.27,,2.91,,14.13,,,,,,,1.81,31.84,9.56,76.78,,,5.69,,81.5,267.43,6.65,66.08,73.87,172.0,6.0,,48.0,157.0,,,,,,,26.03,0.57,67.37,27.36,405.07,58.0,2.11,,,7.51,386.91,186.0,,463.69,,,,5.25,13.23
1984 - 1985,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,Assam,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1984 - 1985,Bihar,8.7,15.98,0.0,24.69,,0.48,,2.59,,,,,,,4.41,24.88,0.19,7.73,,,0.0,,36.02,39.18,-0.29,7.19,7.25,431.0,3.0,,124.0,404.0,,,,,,,0.0,1.07,33.43,13.14,52.67,-10.79,0.05,,,16.91,44.94,435.0,,52.67,,,,11.04,10.55
1984 - 1985,Chandigarh,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1984 - 1985,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,Dadra & Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,Delhi,319.7,462.15,88.09,869.93,,198.1,,1737.95,,,,,,,195.38,875.56,5.65,3689.91,,,751.61,,6023.08,13180.19,-192.45,2562.25,3491.82,11509.0,323.0,,3482.0,8179.0,,,,,,,5378.45,172.5,4285.13,3772.51,22190.82,1258.64,177.95,,,1131.11,19857.37,11785.0,,23547.28,,,,636.2,2034.56
1984 - 1985,Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,"Goa, Daman & Diu",0.0,0.2,0.0,0.2,,1.66,,14.19,,,,,,,0.97,3.05,2.85,15.56,,,1.16,,17.14,11.81,1.18,12.72,13.9,132.0,3.0,,40.0,125.0,,,,,,,15.15,0.42,2.95,14.11,14.36,1.97,0.03,,,10.33,15.99,134.0,,31.55,,,,9.29,-0.08
1984 - 1985,Gujarat,116.95,649.79,83.96,850.7,,128.67,,983.57,,,,,,,88.68,1098.04,247.35,2567.8,,,296.58,,3019.99,6159.24,118.66,2114.55,2439.11,10860.0,117.0,,3379.0,9869.0,,,,,,,2524.2,52.05,2036.42,1991.39,9294.72,1424.93,27.99,,,637.56,6906.09,10991.0,,9473.89,,,,489.14,1007.82
1984 - 1985,Haryana,14.61,-14.5,0.1,0.21,,3.29,,28.58,,,,,,,13.6,0.4,0.19,46.65,,,1.53,,84.36,78.9,-3.1,41.65,43.36,311.0,3.0,,95.0,197.0,,,,,,,49.84,4.98,55.78,22.06,153.29,11.81,0.18,,,24.86,129.12,313.0,,175.77,,,,13.2,-6.52
1984 - 1985,Himachal Pradesh,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1984 - 1985,Jammu & Kashmir,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1984 - 1985,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,Karnataka,65.49,-32.12,30.63,64.0,,37.21,,241.81,,,,,,,29.12,102.77,38.78,1227.96,,,95.9,,998.8,1536.99,1.57,1029.33,1190.75,7812.0,103.0,,2192.0,7042.0,,,,,,,1021.61,50.24,756.99,688.2,2689.12,514.38,65.52,,,464.71,2329.87,7910.0,,3557.83,,,,357.67,446.39
1984 - 1985,Kerala,-1.23,-11.97,4.92,-8.28,,5.42,,37.78,,,,,,,7.75,1.14,9.42,88.1,,,9.5,,141.13,196.83,3.99,72.15,82.68,716.0,14.0,,204.0,583.0,,,,,,,77.52,7.15,103.35,152.48,300.21,27.19,1.05,,,37.81,223.98,727.0,,312.08,,,,26.39,114.7
1984 - 1985,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,Madhya Pradesh,5.32,13.33,1.59,20.25,,16.36,,119.62,,,,,,,17.82,52.26,32.01,85.02,,,22.22,,214.08,388.69,15.65,44.33,68.66,668.0,22.0,,206.0,528.0,,,,,,,155.03,3.07,94.46,287.18,497.13,-1.05,2.1,,,42.31,444.03,700.0,,529.05,,,,26.28,167.56
1984 - 1985,Maharashtra,286.54,508.22,60.52,855.26,,234.27,,1635.77,,,,,,,196.06,1258.46,403.2,3151.08,,,639.38,,4805.76,12861.3,168.93,2201.16,2916.8,12775.0,511.0,,3871.0,10133.0,,,,,,,5127.67,166.8,3169.99,3394.04,17813.62,640.74,76.25,,,1393.63,16918.26,13493.0,,20069.34,,,,854.91,1758.27
1984 - 1985,Manipur,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1984 - 1985,Meghalaya,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1984 - 1985,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,Nagaland,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1984 - 1985,Orissa,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1984 - 1985,Puducherry,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1984 - 1985,Punjab,90.05,198.03,1.38,289.46,,234.1,,1276.73,,,,,,,124.31,692.55,403.1,2056.55,,,651.41,,5102.16,8927.17,168.99,1141.31,1822.44,4867.0,290.0,,1377.0,3694.0,,,,,,,4503.22,30.03,3825.43,3801.38,13384.27,597.11,29.72,,,514.16,12124.85,5406.0,,14181.4,,,,386.5,2524.65
1984 - 1985,Rajasthan,11.4,30.49,11.21,53.11,,7.72,,66.68,,,,,,,7.8,60.61,7.5,93.56,,,24.28,,216.44,288.33,-0.22,60.6,85.86,360.0,15.0,,105.0,276.0,,,,,,,486.71,4.33,149.76,155.65,457.96,28.05,0.98,,,28.24,390.16,386.0,,483.72,,,,17.31,88.97
1984 - 1985,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,Tamil Nadu,112.3,-11.2,33.9,135.0,,174.45,,1197.91,,,,,,,102.39,447.24,312.24,1907.8,,,376.7,,3236.21,8631.2,137.79,1281.56,1733.36,20282.0,655.0,,5457.0,18185.0,,,,,,,3218.41,63.17,2038.3,2708.01,11841.21,377.82,75.09,,,840.58,10842.39,20735.0,,12750.19,,,,629.5,1510.1
1984 - 1985,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,Tripura,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1984 - 1985,Uttar Pradesh,-5.56,-20.95,-48.49,-75.01,,78.1,,630.77,,,,,,,35.57,130.36,205.36,227.81,,,91.2,,974.28,1032.67,127.26,49.04,149.71,2468.0,41.0,,634.0,1970.0,,,,,,,794.62,18.36,343.51,715.4,1542.6,-124.81,9.48,,,155.49,1470.52,2495.0,,1698.33,,,,104.8,84.63
1984 - 1985,Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984 - 1985,West Bengal,-0.14,246.21,-21.86,224.22,,22.23,,144.84,,,,,,,35.08,258.32,34.11,241.77,,,89.7,,958.49,1286.55,11.88,115.55,219.55,1714.0,69.0,,481.0,1256.0,,,,,,,902.87,11.22,813.65,360.14,1738.74,-27.42,14.28,,,131.73,1591.87,1786.0,,1833.64,,,,80.93,215.3
1985 - 1986,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1985 - 1986,Andhra Pradesh,1.05,4.02,0.69,5.75,,2.69,,22.14,,,,,,,2.15,6.13,0.38,50.82,,,5.58,,62.43,155.85,-2.31,36.73,48.13,599.0,17.0,,175.0,525.0,,,,,,,62.03,1.31,40.29,42.87,191.97,-0.61,5.81,,,36.03,181.19,624.0,,232.01,,,,29.43,20.73
1985 - 1986,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
